"gene","MeanDecreaseGini"
"207324_s_at",0
"204463_s_at",0
"203946_s_at",0
"210728_s_at",0
"244496_at",0
"231598_x_at",0
"240112_at",0
"219225_at",0
"211425_x_at",0
"205470_s_at",0
"237328_at",0
"207547_s_at",0
"1570120_at",0
"239650_at",0
"213265_at",0
"206640_x_at",0
"233550_s_at",0
"1565602_at",0
"236045_x_at",0
"229004_at",0
"239002_at",0
"209498_at",0
"220817_at",0
"216510_x_at",0
"219764_at",0
"206488_s_at",0
"241200_x_at",0
"210683_at",0
"242064_at",0
"232313_at",0
"243610_at",0
"211794_at",0
"204620_s_at",0
"207256_at",0
"209116_x_at",0
"237953_at",0
"206892_at",0
"201695_s_at",0
"205671_s_at",0
"1561713_at",0
"209803_s_at",0
"232027_at",0
"209795_at",0
"207404_s_at",0
"226646_at",0
"1563794_s_at",0
"231131_at",0
"217232_x_at",0
"219414_at",0
"204753_s_at",0
"209126_x_at",0
"205670_at",0
"228550_at",0
"238197_at",0
"240186_at",0
"204456_s_at",0
"220004_at",0
"1557921_s_at",0
"1568648_a_at",0
"217028_at",0
"218115_at",0
"204749_at",0
"1555151_s_at",0
"231078_at",0
"228868_x_at",0
"205736_at",0
"240485_at",0
"234532_at",0
"205048_s_at",0
"217504_at",0
"211639_x_at",0
"218723_s_at",0
"222774_s_at",0
"1553114_a_at",0
"1558365_at",0
"226355_at",0
"210770_s_at",0
"220037_s_at",0
"241081_at",0
"206364_at",0
"242002_at",0
"32137_at",0
"223570_at",0
"240253_at",0
"235629_at",0
"224027_at",0
"214961_at",0
"209714_s_at",0
"1566764_at",0
"1566551_at",0
"232984_at",0
"226830_x_at",0
"234709_at",0
"231739_at",0
"205266_at",0
"1556364_at",0
"228877_at",0
"238282_at",0
"1558315_s_at",0
"226086_at",0
"233306_at",0
"206935_at",0
"212592_at",0
"210994_x_at",0
"1557154_at",0
"216370_s_at",0
"1561754_at",0
"234094_x_at",0
"214219_x_at",0
"236351_at",0
"231325_at",0
"237530_at",0
"210571_s_at",0
"233095_at",0
"219747_at",0
"208479_at",0
"216225_at",0
"227235_at",0
"229542_at",0
"207828_s_at",0
"233530_at",0
"235614_at",0
"227180_at",0
"236504_x_at",0
"205433_at",0
"218662_s_at",0
"213802_at",0
"220243_at",0
"1554997_a_at",0
"230673_at",0
"222910_s_at",0
"232918_at",0
"1563034_at",0
"244884_at",0
"244026_at",0
"222746_s_at",0
"205902_at",0
"1555318_at",0
"235086_at",0
"219331_s_at",0
"214366_s_at",0
"232196_at",0
"209374_s_at",0
"203438_at",0
"204393_s_at",0
"216086_at",0
"205504_at",0
"223687_s_at",0
"214053_at",0
"223307_at",0
"220970_s_at",0
"241502_x_at",0
"1567997_x_at",0
"230441_at",0
"225687_at",0
"240433_x_at",0
"201250_s_at",0
"215894_at",0
"222274_at",0
"234412_at",0
"241314_at",0
"222073_at",0
"221991_at",0
"215843_s_at",0
"223843_at",0
"219872_at",0
"235765_at",0
"240745_at",0
"208535_x_at",0
"243856_at",0
"237866_at",0
"232861_at",0
"226612_at",0
"242070_at",0
"1554636_at",0
"212750_at",0
"242488_at",0
"229065_at",0
"217023_x_at",0
"203645_s_at",0
"206367_at",0
"1552388_at",0
"219497_s_at",0
"1570213_at",0
"1570534_a_at",0
"217080_s_at",0
"220475_at",0
"228116_at",0
"241126_at",0
"204619_s_at",0
"226494_at",0
"231359_at",0
"238957_at",0
"1565693_at",0
"235108_at",0
"234794_at",0
"205613_at",0
"205936_s_at",0
"234279_at",0
"210310_s_at",0
"39402_at",0
"209910_at",0
"1560086_at",0
"214469_at",0
"237723_at",0
"239052_at",0
"1561002_at",0
"223923_at",0
"203354_s_at",0
"226017_at",0
"206033_s_at",0
"1552378_s_at",0
"215214_at",0
"204289_at",0
"217419_x_at",0
"222847_s_at",0
"205975_s_at",0
"222015_at",0
"213560_at",0
"238632_at",0
"227835_at",0
"207240_s_at",0
"1553705_a_at",0
"237194_at",0
"204420_at",0
"211506_s_at",0
"1568822_at",0
"232355_at",0
"214162_at",0
"238900_at",0
"208511_at",0
"202388_at",0
"35148_at",0
"231348_s_at",0
"1554810_at",0
